solar.time,location,N2.obs,N2.sat,DO.obs,DO.sat,Ar.obs,Ar.sat,temp.water,light.data,light.smooth,light.calc,depth,discharge,tt,pressure
2024-09-18T17:25:15Z,upstream,14.236,14.182,9.135,8.734,14.236,0.524,22.282,66.2,39.396,264.947,0.304,1.86e-4,140.377,996.7
2024-09-18T17:40:16Z,downstream,13.678,13.803,10.773,8.539,13.678,0.508,23.84,36.2,9.755,139.873,0.304,1.86e-4,140.377,996.65
2024-09-18T17:40:16Z,upstream,14.287,14.22,9.165,8.755,14.287,0.525,22.134,48.7,34.354,139.873,0.304,1.86e-4,140.377,996.65
2024-09-18T17:55:16Z,downstream,13.751,13.854,10.579,8.565,13.751,0.51,23.676,23.7,10.155,14.338,0.304,1.86e-4,140.377,996.7
2024-09-18T17:55:16Z,upstream,14.338,14.258,9.195,8.775,14.338,0.527,21.986,28.7,29.376,14.338,0.304,1.86e-4,140.377,996.7
2024-09-18T18:10:16Z,downstream,13.823,13.904,10.385,8.591,13.823,0.512,23.443,8.7,10.522,0,0.304,1.86e-4,140.377,996.55
2024-09-18T18:10:16Z,upstream,14.389,14.297,9.22,8.795,14.389,0.528,21.806,11.2,24.516,0,0.304,1.86e-4,140.377,996.55
2024-09-18T18:25:16Z,downstream,13.895,13.954,10.194,8.616,13.895,0.514,23.134,1.2,10.822,0,0.304,1.86e-4,140.377,996.6
2024-09-18T18:25:16Z,upstream,14.44,14.335,9.24,8.816,14.44,0.53,21.648,1.2,19.833,0,0.304,1.86e-4,140.377,996.6
2024-09-18T18:40:16Z,downstream,13.965,14.004,10.004,8.642,13.965,0.516,22.945,1.2,11.02,0,0.304,1.86e-4,140.377,996.7
2024-09-18T18:40:16Z,upstream,14.49,14.373,9.251,8.836,14.49,0.531,21.501,1.2,15.387,0,0.304,1.86e-4,140.377,996.7
2024-09-18T18:55:17Z,downstream,14.034,14.052,9.818,8.667,14.034,0.518,22.707,1.2,11.083,0,0.304,1.86e-4,140.377,996.95
2024-09-18T18:55:17Z,upstream,14.54,14.411,9.252,8.857,14.54,0.533,21.333,1.2,11.232,0,0.304,1.86e-4,140.377,996.95
2024-09-18T19:10:17Z,downstream,14.101,14.099,9.636,8.691,14.101,0.52,22.426,1.2,10.977,0,0.304,1.86e-4,140.377,996.95
2024-09-18T19:10:17Z,upstream,14.59,14.45,9.241,8.878,14.59,0.535,21.131,1.2,7.435,0,0.304,1.86e-4,140.377,996.95
2024-09-18T19:25:17Z,downstream,14.165,14.145,9.46,8.714,14.165,0.522,22.209,1.2,10.668,0,0.304,1.86e-4,140.377,997.1
2024-09-18T19:25:17Z,upstream,14.639,14.488,9.215,8.898,14.639,0.536,20.923,1.2,4.052,0,0.304,1.86e-4,140.377,997.1
2024-09-18T19:40:17Z,downstream,14.227,14.189,9.289,8.737,14.227,0.524,22.112,1.2,10.123,0,0.304,1.86e-4,140.377,997.15
2024-09-18T19:40:17Z,upstream,14.688,14.526,9.175,8.919,14.688,0.538,20.74,1.2,1.142,0,0.304,1.86e-4,140.377,997.15
2024-09-18T19:55:18Z,downstream,14.285,14.231,9.125,8.759,14.285,0.526,21.943,1.2,9.306,0,0.304,1.86e-4,140.377,997.3
2024-09-18T19:55:18Z,upstream,14.736,14.564,9.123,8.94,14.736,0.539,20.572,1.2,0,0,0.304,1.86e-4,140.377,997.3
2024-09-18T20:10:18Z,downstream,14.341,14.272,8.968,8.78,14.341,0.527,21.769,1.2,8.187,0,0.304,1.86e-4,140.377,997.4
2024-09-18T20:10:18Z,upstream,14.783,14.602,9.058,8.961,14.783,0.541,20.418,1.2,0,0,0.304,1.86e-4,140.377,997.4
2024-09-18T20:25:18Z,downstream,14.394,14.311,8.819,8.801,14.394,0.529,21.619,1.2,6.729,0,0.304,1.86e-4,140.377,997.45
2024-09-18T20:25:18Z,upstream,14.829,14.64,8.982,8.981,14.829,0.542,20.276,1.2,0,0,0.304,1.86e-4,140.377,997.45
2024-09-18T20:40:18Z,downstream,14.445,14.349,8.677,8.821,14.445,0.53,21.476,1.2,4.9,0,0.304,1.86e-4,140.377,997.65
2024-09-18T20:40:18Z,upstream,14.874,14.677,8.896,9.002,14.874,0.544,20.16,1.2,0,0,0.304,1.86e-4,140.377,997.65
2024-09-18T20:55:19Z,downstream,14.494,14.385,8.544,8.84,14.494,0.532,21.334,1.2,2.672,0,0.304,1.86e-4,140.377,997.7
2024-09-18T20:55:19Z,upstream,14.918,14.713,8.8,9.022,14.918,0.545,20.077,1.2,0,0,0.304,1.86e-4,140.377,997.7
2024-09-18T21:10:19Z,downstream,14.54,14.42,8.42,8.859,14.54,0.533,21.203,1.2,0.128,0,0.304,1.86e-4,140.377,997.75
2024-09-18T21:10:19Z,upstream,14.96,14.749,8.696,9.042,14.96,0.547,19.988,1.2,0,0,0.304,1.86e-4,140.377,997.75
2024-09-18T21:25:19Z,downstream,14.584,14.454,8.305,8.877,14.584,0.535,21.113,1.2,0,0,0.304,1.86e-4,140.377,997.85
2024-09-18T21:25:19Z,upstream,15.001,14.784,8.585,9.062,15.001,0.548,19.892,1.2,0,0,0.304,1.86e-4,140.377,997.85
2024-09-18T21:40:19Z,downstream,14.626,14.487,8.2,8.895,14.626,0.536,21.053,1.2,0,0,0.304,1.86e-4,140.377,997.7
2024-09-18T21:40:19Z,upstream,15.04,14.818,8.468,9.081,15.04,0.55,19.796,1.2,0,0,0.304,1.86e-4,140.377,997.7
